participant_id,treatment,image_id,entropy,albox_mean,iou,change_size,changed
45,baseline,271,0.0033950805664062,0.967875,1,0,0
45,baseline,271,1.3709068298339844e-6,0.518175,0.90608,0.09392,1
45,baseline,271,0.08551025390625,0.754175,1,0,0
45,baseline,271,0.255615234375,1.448475,0.76995,0.23005,1
45,baseline,222,1.7583370208740234e-5,1.398425,0.892276,0.107724,1
45,baseline,222,0.0180816650390625,1.4956,1,0,0
45,baseline,222,1.5908203125,1.3031,1,0,0
45,baseline,222,3.407001495361e-4,0.864125,0.970874,0.029126,1
45,baseline,222,0.0078964233398437,1.086575,1,0,0
45,baseline,222,0.9248046875,1.14,1,0,0
45,baseline,222,1.521484375,1.6887249999999998,1,0,0
45,baseline,232,8.863210678100586e-5,0.7208249999999999,0.93,0.07,1
45,baseline,232,-0,0.7862750000000001,0.96,0.04,1
45,baseline,232,0.0034332275390625,1.1504,0.8464,0.1536,1
45,baseline,597,0.0018777847290039,2.427725,0.942107,0.057893,1
45,baseline,597,5.4836273193359375e-6,1.5314,0.9021,0.0979,1
45,baseline,597,0.0146713256835937,3.625025,1,0,0
45,baseline,597,9.363889694213869e-5,0.9939,1,0,0
45,baseline,597,1.755952835083e-4,2.117675,0.708067,0.291933,1
45,baseline,597,0.11114501953125,9.471675,1,0,0
45,baseline,597,0.1612548828125,1.54005,1,0,0
45,baseline,597,0.330078125,1.77295,1,0,0
45,baseline,597,0.2481689453125,1.427625,1,0,0
45,baseline,597,8.344650268554e-4,1.0647,1,0,0
45,baseline,597,1.261234283447e-4,0.686275,1,0,0
45,baseline,597,0.09039306640625,6.880375,0.941558,0.058442,1
45,baseline,243,3.68595123291e-4,0.688975,1,0,0
45,baseline,243,0.0017042160034179,0.822125,1,0,0
45,baseline,243,7.414817810058e-4,0.79945,1,0,0
45,baseline,243,0.2215576171875,1.624275,1,0,0
45,baseline,243,6.380081176757e-4,1.2218,1,0,0
45,baseline,312,2.7418136596679688e-06,1.104475,0.95,0.05,1
45,baseline,312,1.0728836059570312e-05,0.87915,0.812067,0.187933,1
45,baseline,312,0.0029563903808593,0.7004250000000001,0.925926,0.074074,1
45,baseline,312,0.0019302368164062,0.72815,1,0,0
45,baseline,312,1.5966796875,2.78125,0.436681,0.563319,1
45,baseline,748,1.5676021575927734e-5,0.5613750000000001,1,0,0
45,baseline,748,7.247924804687e-4,0.8579000000000001,0.801694,0.198306,1
45,baseline,748,0.0014848709106445,0.9226,0.96,0.04,1
45,baseline,748,1.082420349121e-4,0.5817749999999999,1,0,0
45,baseline,216,1.3709068298339844e-6,0.581325,1,0,0
45,baseline,216,2.7418136596679688e-06,1.2356,0.882854,0.117146,1
45,baseline,216,2.157688140869141e-5,0.66835,0.96,0.04,1
45,baseline,216,4.365444183349e-4,0.742925,1,0,0
45,baseline,216,0.24365234375,0.856325,1,0,0
45,baseline,743,0.0120773315429687,0.603575,0.948806,0.051194,1
45,baseline,743,0.0079574584960937,0.60315,1,0,0
45,baseline,743,0.56103515625,0.94875,1,0,0
45,baseline,743,5.4836273193359375e-6,0.491875,0.900901,0.099099,1
45,baseline,743,0.798828125,1.2534,1,0,0
40,baseline,194,0.0015621185302734,0.5070250000000001,0.915318,0.084682,1
40,baseline,194,0.0029449462890625,0.6537250000000001,0.668825,0.331175,1
40,baseline,194,0.2322998046875,1.887675,1,0,0
40,baseline,232,8.863210678100586e-5,0.7208249999999999,0.899,0.101,1
40,baseline,232,-0,0.7862750000000001,0.97,0.03,1
